# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T13:26:31.656928
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
     6.050 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.101 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.150 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.200 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.250 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.300 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.350 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.400 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.450 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.500 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.551 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.600 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.650 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.700 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.750 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.801 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.850 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.900 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.950 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.000 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.050 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.100 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.150 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.200 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.251 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.300 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.350 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.401 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.450 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.500 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.550 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.600 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.653 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.700 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.750 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.800 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.850 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.900 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.950 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.000 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.050 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.100 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.150 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.200 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.250 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.300 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.350 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.400 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.450 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.500 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.550 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.601 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.650 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.700 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.750 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.800 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.850 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.900 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.950 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.000 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.050 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.101 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.151 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.200 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.250 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.300 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.350 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.400 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.450 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.500 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
